,strp_timestamp,Response type,BIS RP,DEFRA RP,DVLA F2D RENEW,DVLA F2D REPORT,DVLA VDL,DWP UCDS,HMRC CC,HMRC FF,HMRC PTA,HMRC SA,HMRC TE,HMRC YSP
96,2016-12-11,NEW,54.0,5.0,12.0,7.0,80.0,79.0,6.0,1.0,47.0,471.0,6.0,110.0
97,2016-12-11,RETURNING,31.0,29.0,3.0,1.0,22.0,34.0,6.0,3.0,149.0,1228.0,14.0,81.0
98,2016-12-12,NEW,90.0,24.0,36.0,17.0,154.0,262.0,5.0,4.0,137.0,806.0,11.0,148.0
99,2016-12-12,RETURNING,60.0,130.0,7.0,7.0,60.0,122.0,20.0,0.0,267.0,2044.0,30.0,110.0
100,2016-12-13,NEW,88.0,9.0,30.0,25.0,113.0,208.0,5.0,3.0,118.0,646.0,17.0,119.0
101,2016-12-13,RETURNING,45.0,103.0,5.0,8.0,55.0,111.0,18.0,4.0,282.0,1852.0,19.0,86.0
102,2016-12-14,NEW,81.0,8.0,16.0,21.0,114.0,201.0,4.0,4.0,121.0,565.0,12.0,112.0
103,2016-12-14,RETURNING,37.0,111.0,6.0,7.0,59.0,126.0,30.0,1.0,262.0,1675.0,30.0,114.0
104,2016-12-15,NEW,90.0,5.0,18.0,29.0,215.0,168.0,5.0,5.0,129.0,508.0,12.0,87.0
105,2016-12-15,RETURNING,38.0,111.0,1.0,4.0,97.0,86.0,25.0,5.0,261.0,1397.0,24.0,85.0
106,2016-12-16,NEW,80.0,5.0,22.0,22.0,112.0,135.0,5.0,0.0,108.0,494.0,8.0,73.0
107,2016-12-16,RETURNING,44.0,87.0,5.0,7.0,63.0,74.0,21.0,2.0,250.0,1337.0,18.0,68.0
108,2016-12-17,NEW,37.0,3.0,18.0,13.0,77.0,26.0,1.0,2.0,101.0,338.0,10.0,31.0
109,2016-12-17,RETURNING,10.0,28.0,2.0,4.0,42.0,26.0,4.0,3.0,136.0,910.0,11.0,39.0
110,2016-12-18,NEW,50.0,1.0,15.0,9.0,82.0,82.0,1.0,1.0,62.0,384.0,7.0,34.0
111,2016-12-18,RETURNING,25.0,26.0,5.0,0.0,31.0,45.0,9.0,1.0,129.0,1199.0,17.0,37.0
112,2016-12-19,NEW,95.0,9.0,28.0,22.0,105.0,202.0,11.0,6.0,130.0,694.0,19.0,57.0
113,2016-12-19,RETURNING,43.0,128.0,7.0,4.0,67.0,123.0,24.0,0.0,323.0,1788.0,30.0,73.0
114,2016-12-20,NEW,114.0,8.0,14.0,29.0,121.0,205.0,11.0,3.0,141.0,633.0,14.0,55.0
115,2016-12-20,RETURNING,51.0,117.0,4.0,2.0,51.0,126.0,17.0,6.0,412.0,1906.0,48.0,50.0
116,2016-12-21,NEW,91.0,5.0,22.0,33.0,122.0,151.0,4.0,6.0,129.0,665.0,12.0,84.0
117,2016-12-21,RETURNING,45.0,70.0,4.0,8.0,65.0,68.0,28.0,7.0,465.0,1892.0,30.0,77.0
118,2016-12-22,NEW,101.0,1.0,33.0,27.0,93.0,173.0,4.0,2.0,94.0,571.0,19.0,74.0
119,2016-12-22,RETURNING,50.0,70.0,4.0,5.0,42.0,83.0,11.0,8.0,319.0,1650.0,37.0,61.0
120,2016-12-23,NEW,63.0,2.0,21.0,15.0,80.0,98.0,3.0,2.0,99.0,474.0,8.0,55.0
121,2016-12-23,RETURNING,26.0,37.0,4.0,0.0,28.0,60.0,13.0,1.0,217.0,1428.0,22.0,69.0
122,2016-12-24,NEW,20.0,2.0,11.0,9.0,37.0,33.0,0.0,1.0,31.0,161.0,5.0,24.0
123,2016-12-24,RETURNING,11.0,17.0,1.0,3.0,21.0,10.0,3.0,0.0,84.0,482.0,1.0,38.0
124,2016-12-25,NEW,3.0,0.0,1.0,1.0,12.0,15.0,1.0,1.0,8.0,54.0,0.0,11.0
125,2016-12-25,RETURNING,3.0,1.0,1.0,0.0,12.0,5.0,2.0,0.0,29.0,153.0,5.0,14.0
126,2016-12-26,NEW,13.0,1.0,8.0,2.0,30.0,39.0,0.0,0.0,24.0,183.0,5.0,18.0
127,2016-12-26,RETURNING,4.0,11.0,0.0,0.0,26.0,15.0,2.0,1.0,77.0,621.0,5.0,30.0
128,2016-12-27,NEW,27.0,1.0,8.0,12.0,52.0,62.0,1.0,1.0,48.0,478.0,4.0,46.0
129,2016-12-27,RETURNING,24.0,17.0,4.0,0.0,38.0,17.0,4.0,2.0,99.0,1278.0,15.0,39.0
130,2016-12-28,NEW,55.0,2.0,22.0,23.0,73.0,103.0,5.0,3.0,92.0,863.0,9.0,89.0
131,2016-12-28,RETURNING,34.0,30.0,7.0,1.0,39.0,37.0,13.0,2.0,271.0,2533.0,22.0,90.0
132,2016-12-29,NEW,57.0,3.0,30.0,23.0,78.0,180.0,1.0,8.0,109.0,1063.0,13.0,74.0
133,2016-12-29,RETURNING,25.0,48.0,5.0,1.0,53.0,72.0,14.0,7.0,316.0,3294.0,19.0,99.0
134,2016-12-30,NEW,46.0,3.0,21.0,17.0,76.0,157.0,4.0,4.0,119.0,1039.0,13.0,80.0
135,2016-12-30,RETURNING,15.0,52.0,4.0,2.0,34.0,76.0,23.0,5.0,367.0,3605.0,28.0,88.0
136,2016-12-31,NEW,20.0,0.0,26.0,11.0,55.0,53.0,2.0,5.0,57.0,488.0,3.0,43.0
137,2016-12-31,RETURNING,16.0,14.0,6.0,0.0,17.0,26.0,4.0,3.0,183.0,1607.0,13.0,48.0
138,2017-01-01,NEW,11.0,0.0,13.0,7.0,30.0,50.0,2.0,3.0,52.0,491.0,1.0,53.0
139,2017-01-01,RETURNING,7.0,9.0,0.0,2.0,20.0,12.0,8.0,7.0,167.0,1436.0,17.0,57.0
140,2017-01-02,NEW,32.0,5.0,33.0,22.0,73.0,106.0,2.0,2.0,88.0,1118.0,9.0,93.0
141,2017-01-02,RETURNING,11.0,23.0,8.0,2.0,30.0,49.0,13.0,4.0,265.0,2923.0,34.0,70.0
142,2017-01-03,NEW,101.0,10.0,79.0,24.0,224.0,378.0,12.0,6.0,191.0,1998.0,19.0,158.0
143,2017-01-03,RETURNING,54.0,108.0,17.0,3.0,93.0,115.0,31.0,14.0,541.0,4881.0,47.0,145.0
144,2017-01-04,NEW,101.0,11.0,41.0,40.0,123.0,275.0,9.0,6.0,194.0,2124.0,23.0,186.0
145,2017-01-04,RETURNING,61.0,107.0,7.0,8.0,58.0,77.0,24.0,12.0,648.0,5991.0,61.0,157.0
